Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
o3-mini,basic,1.0,TR # Turkish,B1,most frequent,Abstract Concepts,anger,strong;deep;high;sudden;hot;wild;bad;great;fierce;heavy
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Inanimate Objects,drums,loud;strong;deep;bold;real;neat;good;heavy;clear;fast
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Inanimate Objects,earth,old;real;strong;clear;rich;deep;pure;wide;true;good
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Inanimate Objects,flute,soft;clear;neat;fine;real;good;pure;small;gentle;bright
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Inanimate Objects,key,small;old;neat;fine;clear;strong;good;true;plain;sharp
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Inanimate Objects,knife,sharp;strong;good;neat;clear;fine;real;small;old;hard
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Inanimate Objects,lock,strong;old;neat;clear;good;tight;real;firm;solid;bold
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Inanimate Objects,moon,bright;clear;old;round;soft;calm;true;deep;pure;high
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Inanimate Objects,pen,small;neat;fine;clear;good;real;thin;dark;sharp;old
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Inanimate Objects,sun,bright;hot;strong;clear;real;warm;deep;true;high;pure
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Inanimate Objects,sword,sharp;strong;clear;fine;real;old;bold;heavy;true;bright
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Neutral Animals,cat,small;cute;real;neat;quick;soft;warm;kind;fine;sly
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Neutral Animals,dog,small;cute;real;neat;quick;loyal;kind;fine;strong;brave
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Neutral Animals,dolphin,smart;kind;neat;real;quick;strong;true;friendly;sleek;warm
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Neutral Animals,elephant,big;strong;old;real;kind;neat;bold;clear;good;heavy
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Neutral Animals,hamster,small;cute;neat;real;quick;soft;kind;fine;mild;warm
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Neutral Animals,monkey,clever;quick;neat;brave;real;kind;small;funny;bold;smart
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Neutral Animals,mouse,small;quiet;neat;real;quick;soft;kind;fine;light;pure
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Neutral Animals,peacock,bright;fine;bold;real;neat;clear;true;rich;wild;open
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Neutral Animals,rabbit,small;cute;neat;real;quick;soft;kind;fine;warm;bright
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Neutral Animals,shark,big;strong;sharp;real;fierce;neat;fast;wild;deep;cold
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Neutral Animals,snake,long;thin;strong;real;dark;neat;sly;bold;quick;cold
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Neutral Animals,whale,big;strong;deep;real;old;clear;calm;kind;true;heavy
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Places,city,big;old;neat;strong;clear;real;busy;wide;rich;deep
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Places,desert,hot;dry;wide;old;clear;real;deep;vast;strong;bare
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Places,forest,big;green;old;real;deep;neat;quiet;rich;dark;wild
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Places,island,small;big;clear;old;neat;wide;deep;rich;real;calm
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Places,lake,deep;clear;calm;real;old;wide;neat;pure;blue;soft
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Places,mountain,big;high;steep;old;strong;deep;real;clear;wide;grand
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Places,ocean,big;deep;wide;clear;real;blue;strong;calm;pure;vast
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Places,plain,wide;flat;real;old;clear;neat;deep;good;broad;open
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Places,plateau,high;flat;clear;real;old;neat;wide;deep;strong;broad
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Places,river,long;deep;clear;strong;real;wild;neat;fast;cool;broad
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Places,valley,deep;green;clear;old;real;wide;quiet;neat;soft;calm
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Places,village,small;neat;old;real;quiet;clear;good;kind;fine;warm
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Plants,cactus,green;sharp;small;real;neat;old;fine;dry;true;strong
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Plants,eggplant,purple;soft;neat;fresh;real;fine;small;clear;dark;good
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Plants,flower,bright;small;neat;real;sweet;fine;deep;clear;pure;soft
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Plants,grass,green;soft;neat;real;fine;fresh;clear;deep;pure;light
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Plants,lettuce,green;fresh;neat;real;fine;soft;clear;crisp;pure;good
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Plants,mushroom,small;brown;neat;real;deep;fine;soft;clear;good;wild
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Plants,onion,white;strong;neat;real;fine;raw;fresh;deep;pure;sharp
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Plants,pepper,red;strong;neat;real;fine;hot;fresh;clear;crisp;bold
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Plants,potato,brown;small;neat;real;soft;fine;good;raw;clear;thick
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Plants,rose,red;bright;neat;real;sweet;fine;pure;soft;fresh;lovely
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Plants,tomato,red;round;neat;real;fresh;fine;soft;bright;good;sweet
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Plants,tree,big;old;green;strong;neat;deep;real;tall;clear;wide
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Social Relationships,ally,true;kind;good;strong;brave;loyal;neat;clear;real;firm
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Social Relationships,brother,close;kind;good;strong;real;warm;neat;true;loyal;brave
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Social Relationships,enemy,strong;mean;bad;real;dark;cold;sharp;bold;fierce;harsh
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Social Relationships,father,old;kind;strong;real;true;wise;good;neat;brave;warm
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Social Relationships,follower,loyal;true;kind;good;neat;real;bold;strong;close;brave
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Social Relationships,friend,kind;true;good;real;close;warm;neat;happy;strong;loyal
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Social Relationships,leader,strong;bold;true;good;clear;brave;neat;kind;real;firm
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Social Relationships,mother,old;kind;strong;real;true;warm;good;neat;wise;brave
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Social Relationships,partner,good;true;kind;strong;neat;real;close;warm;clear;brave
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Social Relationships,rival,strong;bold;true;real;good;keen;neat;hard;fierce;dark
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Social Relationships,sister,close;kind;good;real;true;warm;neat;brave;smart;dear
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Social Relationships,stranger,new;unknown;small;real;neat;clear;quiet;kind;fair;distant
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Spatial Concepts,above,high;clear;strong;true;neat;real;bright;open;deep;pure
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Spatial Concepts,back,strong;hard;deep;true;neat;solid;real;clear;good;steady
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Spatial Concepts,below,low;deep;clear;real;neat;true;small;good;calm;soft
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Spatial Concepts,east,bright;clear;true;neat;good;strong;real;kind;calm;rising
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Spatial Concepts,front,clear;strong;true;neat;good;bright;real;bold;sharp;open
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Spatial Concepts,inside,deep;clear;true;neat;good;quiet;small;real;warm;soft
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Spatial Concepts,left,small;neat;good;clear;true;real;strong;kind;bold;sharp
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Spatial Concepts,north,cold;clear;true;neat;good;strong;real;high;deep;bright
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Spatial Concepts,outside,open;clear;strong;neat;good;real;wide;true;fresh;bright
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Spatial Concepts,right,true;good;clear;real;neat;strong;fine;bold;kind;proper
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Spatial Concepts,south,warm;clear;good;true;neat;real;kind;strong;deep;bright
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Spatial Concepts,west,wide;deep;clear;good;strong;true;neat;real;bold;bright
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Time Concepts,century,long;old;clear;true;neat;strong;real;good;bright;vast
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Time Concepts,day,bright;clear;good;true;neat;real;long;warm;fine;open
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Time Concepts,evening,cool;calm;dark;clear;neat;good;real;soft;deep;mild
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Time Concepts,hour,short;quick;clear;neat;real;good;strong;fine;true;pure
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Time Concepts,minute,small;short;neat;clear;real;good;fine;true;deep;slight
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Time Concepts,month,long;clear;real;neat;good;true;deep;fine;bright;open
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Time Concepts,morning,bright;early;clear;true;neat;good;fresh;calm;soft;warm
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Time Concepts,night,dark;quiet;deep;clear;cool;calm;true;neat;real;still
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Time Concepts,season,cold;warm;clear;true;real;neat;good;fine;deep;bright
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Time Concepts,second,short;quick;clear;neat;real;good;fine;true;swift;small
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Time Concepts,week,long;real;neat;clear;good;true;strong;fine;deep;bright
o3-mini,basic,1.0,TR # Turkish,B2,most frequent,Time Concepts,year,long;old;clear;true;neat;real;good;fine;deep;bright
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Abstract Concepts,anger,intense;boiling;simmering;red;explosive;fiery;bitter;seething;sudden;uncontrollable
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Abstract Concepts,courage,brave;bold;strong;fearless;heroic;steadfast;determined;valiant;gallant;resolute
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Abstract Concepts,fear,deep;crippling;intense;sudden;overwhelming;paralyzing;dark;acute;irrational;haunting
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Abstract Concepts,freedom,pure;open;unrestrained;vast;absolute;boundless;liberating;precious;essential;empowering
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Abstract Concepts,happiness,bright;joyful;warm;radiant;uplifting;pure;serene;delightful;cheerful;sweet
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Abstract Concepts,hate,deep;bitter;intense;burning;fierce;strong;cruel;resentful;toxic;consuming
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Abstract Concepts,honesty,strong;pure;frank;sincere;true;clear;open;genuine;steadfast;admirable
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Abstract Concepts,justice,fair;swift;balanced;true;equal;righteous;impartial;decent;strong;solid
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Abstract Concepts,knowledge,deep;broad;vast;immense;valuable;reliable;clear;rich;endless;powerful
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Abstract Concepts,love,deep;pure;warm;tender;strong;gentle;endless;true;passionate;everlasting
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Abstract Concepts,peace,calm;serene;quiet;gentle;lasting;deep;pure;steady;soothing;harmonious
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Abstract Concepts,wisdom,deep;wise;ancient;profound;rich;clear;enduring;timeless;true;noble
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Cultural Artifacts,bell,small;clear;loud;resonant;ancient;bright;delicate;metal;shiny;rhythmic
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Cultural Artifacts,candle,small;bright;glowing;waxen;soft;gentle;warm;flickering;delicate;quiet
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Cultural Artifacts,carpet,soft;plush;vibrant;clean;colorful;patterned;thick;woven;dusty;ancient
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Cultural Artifacts,coin,small;shiny;round;old;metal;rare;heavy;bright;tarnished;valuable
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Cultural Artifacts,crown,royal;golden;ornate;jeweled;shining;regal;ancient;delicate;precious;magnificent
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Cultural Artifacts,flag,bright;colorful;national;waving;proud;bold;vivid;fluttering;iconic;symbolic
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Cultural Artifacts,mask,mysterious;dark;strange;ornate;ancient;painted;hidden;eerie;silent;unique
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Cultural Artifacts,necklace,delicate;shiny;golden;elegant;colorful;rare;sparkling;vintage;graceful;ornamental
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Cultural Artifacts,painting,vibrant;bright;creative;modern;detailed;realistic;abstract;classic;expressive;beautiful
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Cultural Artifacts,ring,small;golden;shiny;circular;elegant;precious;delicate;ornate;classic;timeless
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Cultural Artifacts,statue,ancient;grand;silent;stone;noble;carved;tall;majestic;proud;detailed
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Cultural Artifacts,vase,delicate;ceramic;old;colorful;elegant;ornate;slender;artistic;vintage;fragile
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Environmental Phenomena,cloud,white;fluffy;dark;heavy;soft;drifting;vast;high;gentle;scattered
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Environmental Phenomena,earthquake,strong;sudden;powerful;violent;deep;unstable;shocking;massive;earthshaking;relentless
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Environmental Phenomena,fog,thick;heavy;gray;dense;eerie;silent;cold;mysterious;swirling;gloomy
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Environmental Phenomena,lightning,fast;bright;sudden;fierce;dangerous;electric;intense;sharp;dazzling;striking
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Environmental Phenomena,rain,steady;soft;heavy;cold;warm;gentle;sudden;refreshing;continuous;fierce
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Environmental Phenomena,rainbow,bright;colorful;vivid;rare;radiant;beautiful;arching;delicate;fleeting;magical
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Environmental Phenomena,snow,soft;white;cold;pure;thick;silent;fresh;heavy;gentle;sparkling
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Environmental Phenomena,storm,fierce;violent;dark;strong;sudden;angry;wild;heavy;intense;roaring
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Environmental Phenomena,thunder,loud;deep;rumbling;booming;fierce;sudden;echoing;dark;heavy;rolling
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Environmental Phenomena,tide,strong;rising;falling;steady;rhythmic;powerful;low;high;gentle;changing
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Environmental Phenomena,volcano,active;fiery;destructive;molten;ancient;dangerous;powerful;towering;eruptive;legendary
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Environmental Phenomena,wind,strong;cold;gentle;wild;brisk;fresh;warm;steady;fierce;soft
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Food Items,apple,red;fresh;ripe;sweet;juicy;green;crisp;round;tart;delicious
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Food Items,banana,yellow;ripe;sweet;soft;fresh;long;curved;tasty;tropical;fragrant
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Food Items,beef,tender;juicy;fresh;lean;cooked;rich;hearty;savory;flavorful;meaty
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Food Items,bread,fresh;warm;soft;crusty;tasty;wholesome;homemade;golden;delicious;fragrant
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Food Items,broccoli,fresh;green;crunchy;healthy;raw;steamed;chopped;tender;vibrant;crisp
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Food Items,cheese,creamy;sharp;fresh;aged;soft;hard;mild;tasty;rich;delicious
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Food Items,chicken,tender;juicy;fresh;roasted;grilled;spicy;savory;cooked;crispy;flavorful
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Food Items,egg,fresh;raw;hard;soft;boiled;cracked;rich;smooth;edible;fragile
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Food Items,fish,fresh;oily;tender;wild;steamed;grilled;delicious;flaky;cooked;light
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Food Items,pasta,cooked;warm;soft;tender;fresh;saucy;delicious;tasty;hearty;classic
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Food Items,rice,white;fluffy;steamed;hot;plain;tasty;light;simple;fragrant;soft
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Food Items,soup,hot;warm;hearty;tasty;savory;fresh;thick;smooth;delicious;comforting
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Human Roles,artist,creative;talented;unique;imaginative;skilled;inspiring;modern;brilliant;original;dedicated
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Human Roles,athlete,strong;fast;fit;agile;determined;skilled;competitive;powerful;energetic;active
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Human Roles,chef,skilled;creative;talented;dedicated;busy;innovative;experienced;professional;passionate;precise
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Human Roles,doctor,kind;skilled;caring;experienced;thoughtful;professional;smart;reliable;diligent;knowledgeable
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Human Roles,engineer,smart;creative;skilled;practical;logical;experienced;innovative;talented;efficient;focused
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Human Roles,farmer,hardworking;diligent;rural;experienced;strong;caring;tough;simple;respectful;steady
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Human Roles,lawyer,smart;skilled;experienced;knowledgeable;serious;sharp;honest;dedicated;logical;thorough
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Human Roles,musician,creative;talented;passionate;skilled;rhythmic;soulful;unique;expressive;vibrant;dedicated
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Human Roles,scientist,curious;smart;innovative;logical;precise;dedicated;thoughtful;skilled;analytical;observant
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Human Roles,soldier,brave;strong;disciplined;loyal;tough;resilient;courageous;fearless;dedicated;honorable
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Human Roles,teacher,kind;patient;smart;caring;skilled;dedicated;inspiring;thoughtful;gentle;knowledgeable
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Human Roles,writer,creative;imaginative;thoughtful;expressive;skilled;original;detailed;clear;powerful;insightful
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Inanimate Objects,book,interesting;old;colorful;thick;heavy;classic;engaging;famous;well-worn;mysterious
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Inanimate Objects,bridge,long;strong;old;sturdy;high;narrow;graceful;elegant;famous;historic
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Inanimate Objects,drums,loud;pounding;rhythmic;deep;vibrant;powerful;resonant;energetic;echoing;dynamic
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Inanimate Objects,earth,round;blue;rich;fertile;vast;ancient;solid;nurturing;diverse;vibrant
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Inanimate Objects,flute,wooden;light;clear;soft;gentle;smooth;delicate;airy;refined;melodic
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Inanimate Objects,key,small;metal;old;shiny;simple;bright;round;mysterious;unique;heavy
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Inanimate Objects,knife,sharp;sturdy;shiny;pointed;dangerous;lethal;precise;clean;sleek;robust
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Inanimate Objects,lock,old;rusty;sturdy;secure;small;complex;heavy;reliable;intricate;antique
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Inanimate Objects,moon,bright;full;pale;silent;ancient;round;serene;glowing;distant;beautiful
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Inanimate Objects,pen,blue;small;shiny;smooth;reliable;inked;elegant;slim;classic;modern
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Inanimate Objects,sun,bright;hot;golden;immense;powerful;radiant;fiery;warm;blazing;central
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Inanimate Objects,sword,sharp;long;shiny;deadly;fierce;ancient;strong;elegant;gleaming;honed
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Neutral Animals,cat,cute;agile;playful;curious;soft;sly;graceful;alert;furry;independent
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Neutral Animals,dog,loyal;friendly;brave;playful;smart;loving;active;gentle;cheerful;faithful
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Neutral Animals,dolphin,smart;playful;friendly;agile;graceful;swift;gentle;vibrant;curious;sleek
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Neutral Animals,elephant,huge;gentle;strong;wise;massive;kind;noble;ancient;calm;majestic
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Neutral Animals,hamster,small;cute;furry;active;gentle;tiny;soft;playful;nimble;curious
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Neutral Animals,monkey,playful;smart;agile;curious;lively;funny;mischievous;active;nimble;clever
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Neutral Animals,mouse,small;shy;quick;tiny;agile;soft;timid;nimble;quiet;delicate
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Neutral Animals,peacock,colorful;vibrant;proud;elegant;striking;brilliant;eye-catching;graceful;shiny;regal
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Neutral Animals,rabbit,soft;cute;quick;small;furry;timid;gentle;delicate;playful;agile
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Neutral Animals,shark,fierce;large;fast;dangerous;sleek;powerful;silent;swift;deadly;sharp
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Neutral Animals,snake,long;slick;dark;dangerous;silent;agile;venomous;slim;winding;mysterious
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Neutral Animals,whale,huge;gentle;massive;deep;calm;majestic;slow;ancient;graceful;blue
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Places,city,large;busy;vibrant;modern;historic;crowded;bright;dynamic;bustling;lively
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Places,desert,hot;dry;vast;sandy;empty;barren;sunny;harsh;quiet;endless
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Places,forest,green;vast;quiet;wild;deep;old;dense;lush;shady;peaceful
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Places,island,small;remote;tropical;quiet;sunny;green;sandy;peaceful;isolated;beautiful
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Places,lake,calm;deep;clear;blue;still;vast;serene;fresh;quiet;reflective
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Places,mountain,high;tall;ancient;rugged;steep;grand;vast;rocky;majestic;wild
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Places,ocean,vast;deep;blue;wild;endless;powerful;salty;rough;turbulent;mysterious
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Places,plain,wide;flat;green;open;vast;quiet;barren;endless;rolling;silent
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Places,plateau,high;flat;vast;rugged;open;dry;ancient;isolated;broad;steady
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Places,river,long;fast;winding;deep;clear;flowing;broad;fresh;cool;steady
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Places,valley,deep;quiet;wide;green;lush;narrow;fertile;scenic;peaceful;shadowed
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Places,village,small;quiet;rustic;old;peaceful;tiny;humble;friendly;local;charming
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Plants,cactus,prickly;green;dry;spiny;tough;desert;small;rugged;hardy;unique
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Plants,eggplant,purple;fresh;juicy;ripe;soft;smooth;shiny;large;raw;tasty
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Plants,flower,beautiful;bright;fresh;fragrant;delicate;vibrant;soft;lovely;colorful;natural
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Plants,grass,green;soft;fresh;thick;short;wild;lush;simple;vibrant;healthy
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Plants,lettuce,crisp;green;fresh;leafy;cool;tender;light;pale;healthy;raw
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Plants,mushroom,small;wild;fresh;brown;soft;edible;spongy;delicate;damp;earthy
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Plants,onion,pungent;strong;fresh;crisp;raw;white;layered;spicy;sharp;earthy
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Plants,pepper,hot;spicy;fresh;red;green;small;vibrant;bold;zesty;flavorful
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Plants,potato,starchy;brown;fresh;plump;rough;large;common;tender;earthy;hearty
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Plants,rose,red;beautiful;fragrant;delicate;soft;blooming;fresh;elegant;vibrant;classic
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Plants,tomato,ripe;red;fresh;juicy;soft;sweet;round;colorful;bold;tangy
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Plants,tree,tall;old;green;strong;large;deep;shady;leafy;solid;ancient
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Social Relationships,ally,loyal;supportive;reliable;trusted;strong;brave;kind;true;steadfast;faithful
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Social Relationships,brother,caring;supportive;loving;close;protective;kind;friendly;reliable;warm;devoted
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Social Relationships,enemy,hostile;bitter;dangerous;fierce;ruthless;cunning;strong;relentless;powerful;unfriendly
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Social Relationships,father,caring;strong;wise;kind;gentle;dependable;loving;supportive;reliable;protective
o3-mini,basic,1.0,TR # Turkish,C1,most frequent,Social Relationships,follower,loyal;obedient;eager;kind;steady;respectful;attentive;supportive;calm;trustworthy
