Model,SystemPromptType,Temperature,Language,Proficiency,Prompt,NounCategory,Noun,Adjectives
grok-3-mini,english-monolingual,0.0,AR # Arabic,B1,most frequent,Abstract Concepts,anger,intense;blind;raw;sudden;deep;boiling;righteous;suppressed;explosive;quiet
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Places,city,bustling;modern;ancient;crowded;coastal;industrial;historic;sprawling;vibrant;polluted
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Places,city,bustling;modern;ancient;crowded;vibrant;coastal;industrial;historic;sprawling;polluted
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Places,city,bustling;modern;historic;crowded;coastal;industrial;vibrant;sprawling;ancient;polluted
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Places,desert,vast;arid;sandy;scorching;remote;barren;rocky;endless;windswept;golden
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Places,desert,vast;sandy;arid;hot;barren;remote;windswept;rocky;endless;golden
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Places,desert,vast;sandy;arid;hot;barren;remote;windswept;golden;endless;harsh
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Places,desert,vast;sandy;arid;hot;barren;remote;windswept;golden;expansive;harsh
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Places,desert,vast;arid;sandy;hot;barren;remote;rocky;endless;windswept;golden
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Places,forest,dense;ancient;tropical;green;misty;enchanted;vast;dark;deciduous;protected
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Places,forest,dense;ancient;tropical;green;dark;enchanted;vast;rainy;peaceful;coniferous
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Places,forest,dense;ancient;green;tropical;dark;lush;quiet;enchanted;vast;misty
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Places,forest,dense;ancient;tropical;green;misty;quiet;vast;enchanted;dark;lush
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Places,forest,dense;ancient;tropical;green;misty;dark;enchanted;vast;deciduous;quiet
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Places,island,tropical;remote;volcanic;deserted;rocky;lush;small;inhabited;coral;sunny
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Places,island,tropical;remote;volcanic;deserted;green;sandy;inhabited;coral;large;picturesque
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Places,island,tropical;remote;volcanic;deserted;green;sandy;inhabited;small;exotic;rocky
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Places,island,tropical;remote;volcanic;sandy;deserted;inhabited;small;exotic;rocky;lush
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Places,island,tropical;remote;volcanic;sandy;deserted;lush;small;coastal;inhabited;rocky
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Places,lake,serene;deep;frozen;crystal-clear;vast;polluted;scenic;freshwater;hidden;alpine
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Places,lake,deep;clear;frozen;serene;mountain;polluted;vast;freshwater;scenic;tranquil
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Places,lake,deep;clear;frozen;scenic;freshwater;vast;tranquil;polluted;hidden;blue
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Places,lake,deep;clear;frozen;scenic;freshwater;vast;tranquil;polluted;mountain;shimmering
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Places,lake,serene;deep;frozen;crystal-clear;large;mountain;polluted;scenic;freshwater;hidden
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Places,mountain,towering;rugged;snowy;majestic;volcanic;remote;steep;forested;ancient;challenging
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Places,mountain,tall;snowy;rugged;majestic;volcanic;remote;green;ancient;steep;foggy
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Places,mountain,tall;snowy;rugged;majestic;volcanic;remote;green;steep;ancient;foggy
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Places,mountain,tall;snowy;rugged;ancient;volcanic;majestic;steep;remote;forested;challenging
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Places,mountain,towering;snowy;rugged;majestic;volcanic;high;forested;remote;steep;ancient
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Places,ocean,vast;deep;stormy;blue;calm;endless;polluted;tropical;frigid;mysterious
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Places,ocean,vast;deep;blue;stormy;calm;salty;endless;tropical;frigid;mysterious
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Places,ocean,vast;deep;blue;stormy;calm;salty;endless;mysterious;warm;turbulent
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Places,ocean,vast;deep;blue;stormy;calm;salty;endless;mysterious;warm;turbulent
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Places,ocean,vast;deep;stormy;blue;calm;endless;tropical;frigid;mysterious;turbulent
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Places,plain,vast;flat;grassy;fertile;windswept;dry;endless;rolling;golden;barren
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Places,plain,vast;flat;grassy;fertile;dry;endless;rolling;open;windswept;golden
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Places,plain,vast;flat;grassy;fertile;dry;endless;open;windswept;green;barren
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Places,plain,vast;flat;grassy;fertile;dry;endless;open;windswept;green;barren
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Places,plain,vast;flat;grassy;fertile;dry;endless;rolling;open;windswept;golden
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Places,plateau,high;flat;rocky;elevated;vast;arid;scenic;ancient;windswept;fertile
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Places,plateau,high;flat;rocky;elevated;vast;arid;scenic;ancient;windswept;remote
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Places,plateau,high;flat;rocky;elevated;vast;arid;scenic;ancient;green;remote
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Places,plateau,high;flat;rocky;elevated;vast;arid;scenic;ancient;remote;rugged
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Places,plateau,high;flat;rocky;elevated;vast;arid;scenic;ancient;remote;eroded
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Places,river,winding;mighty;shallow;polluted;swift;frozen;scenic;wide;narrow;muddy
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Places,river,wide;flowing;muddy;clear;winding;fast;ancient;polluted;scenic;mighty
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Places,river,wide;flowing;muddy;clear;winding;deep;shallow;rapid;ancient;polluted
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Places,river,wide;flowing;muddy;clear;winding;deep;swift;ancient;polluted;scenic
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Places,river,winding;mighty;shallow;polluted;fast-flowing;scenic;frozen;wide;narrow;muddy
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Places,valley,lush;deep;fertile;hidden;narrow;scenic;mountainous;green;dry;peaceful
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Places,valley,deep;green;fertile;narrow;scenic;hidden;mountainous;lush;dry;peaceful
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Places,valley,deep;green;fertile;narrow;scenic;hidden;misty;wide;rural;mountainous
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Places,valley,deep;fertile;narrow;green;scenic;hidden;mountainous;lush;dry;peaceful
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Places,valley,lush;deep;narrow;fertile;hidden;scenic;mountainous;dry;green;remote
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Places,village,quaint;rural;remote;coastal;ancient;bustling;sleepy;fishing;mountain;historic
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Places,village,quaint;rural;small;ancient;coastal;peaceful;fishing;mountain;historic;sleepy
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Places,village,quaint;rural;small;peaceful;ancient;coastal;bustling;isolated;traditional;charming
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Places,village,quaint;rural;small;peaceful;ancient;coastal;bustling;isolated;traditional;charming
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Places,village,quaint;rural;small;coastal;ancient;peaceful;fishing;mountain;deserted;bustling
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Plants,cactus,spiky;desert;tall;flowering;green;hardy;small;prickly;exotic;drought-resistant
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Plants,cactus,spiky;desert;tall;flowering;green;prickly;hardy;small;exotic;drought-resistant
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Plants,cactus,spiky;desert;tall;green;flowering;hardy;prickly;small;exotic;drought-resistant
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Plants,cactus,spiky;desert;tall;green;flowering;hardy;prickly;exotic;small;drought-resistant
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Plants,cactus,spiky;desert;tall;flowering;green;hardy;small;prickly;exotic;drought-resistant
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Plants,eggplant,purple;fresh;glossy;ripe;organic;grilled;large;bitter;sliced;raw
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Plants,eggplant,purple;fresh;glossy;large;organic;grilled;ripe;bitter;vegetable;shiny
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Plants,eggplant,purple;fresh;shiny;large;organic;grilled;ripe;bitter;smooth;vegetable
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Plants,eggplant,purple;fresh;glossy;large;organic;ripe;cooked;bitter;shiny;elongated
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Plants,eggplant,purple;fresh;glossy;large;organic;roasted;bitter;sliced;ripe;grilled
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Plants,flower,blooming;colorful;fragrant;wild;delicate;exotic;wilted;perennial;red;garden
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Plants,flower,beautiful;blooming;wild;fragrant;colorful;wilted;garden;exotic;delicate;red
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Plants,flower,beautiful;colorful;fragrant;wild;blooming;delicate;red;exotic;wilted;perennial
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Plants,flower,beautiful;blooming;colorful;fragrant;wild;exotic;wilted;fresh;delicate;red
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Plants,flower,colorful;fragrant;wild;blooming;delicate;exotic;wilted;garden;perennial;bright
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Plants,grass,green;lush;tall;dry;mowed;wild;soft;overgrown;fresh;patchy
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Plants,grass,green;lush;tall;dry;mowed;wild;soft;wet;overgrown;fresh
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Plants,grass,green;lush;tall;short;wet;dry;wild;mowed;soft;overgrown
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Plants,grass,green;lush;tall;dry;fresh;mowed;wild;soft;overgrown;damp
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Plants,grass,green;lush;tall;dry;mowed;wild;soft;overgrown;fresh;patchy
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Plants,lettuce,crisp;fresh;green;organic;wilted;leafy;raw;chopped;salad;hydroponic
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Plants,lettuce,fresh;crisp;green;organic;leafy;wilted;salad;raw;hydroponic;bitter
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Plants,lettuce,fresh;crisp;green;organic;leafy;washed;wilted;chopped;salad;tender
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Plants,lettuce,fresh;crisp;green;organic;leafy;washed;wilted;raw;salad;tender
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Plants,lettuce,crisp;fresh;green;organic;leafy;wilted;chopped;iceberg;salad;hydroponic
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Plants,mushroom,wild;edible;poisonous;fresh;dried;large;button;flavorful;cultivated;exotic
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Plants,mushroom,wild;edible;poisonous;fresh;button;dried;large;flavorful;forest;cultivated
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Plants,mushroom,wild;edible;poisonous;fresh;large;dried;button;exotic;flavorful;capped
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Plants,mushroom,wild;edible;poisonous;fresh;dried;large;button;flavorful;earthy;cultivated
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Plants,mushroom,wild;edible;poisonous;fresh;button;dried;large;flavorful;cultivated;exotic
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Plants,onion,fresh;red;white;sliced;pungent;raw;caramelized;organic;mild;diced
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Plants,onion,fresh;red;white;pungent;sliced;organic;raw;caramelized;sweet;large
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Plants,onion,fresh;red;white;sliced;pungent;organic;raw;caramelized;small;spicy
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Plants,onion,fresh;pungent;red;white;sliced;raw;organic;sweet;dried;spicy
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Plants,onion,fresh;red;white;sliced;pungent;organic;raw;caramelized;large;mild
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Plants,pepper,spicy;red;green;fresh;bell;ground;hot;sweet;dried;sliced
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Plants,pepper,spicy;red;green;fresh;bell;ground;hot;sweet;dried;colorful
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Plants,pepper,hot;red;green;fresh;spicy;bell;ground;dried;sweet;sliced
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Plants,pepper,spicy;red;green;fresh;bell;ground;hot;sweet;dried;colorful
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Plants,pepper,spicy;red;green;fresh;bell;ground;hot;sliced;sweet;dried
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Plants,potato,fresh;baked;mashed;organic;small;large;peeled;fried;starchy;raw
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Plants,potato,fresh;baked;mashed;organic;small;large;sweet;fried;raw;starchy
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Plants,potato,fresh;baked;mashed;organic;small;large;peeled;fried;starchy;golden
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Plants,potato,fresh;baked;mashed;organic;small;large;peeled;fried;starchy;golden
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Plants,potato,fresh;baked;mashed;organic;small;russet;fried;peeled;starchy;sweet
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Plants,rose,red;blooming;thorny;fragrant;wild;hybrid;white;garden;delicate;wilted
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Plants,rose,red;blooming;thorny;fragrant;wild;garden;white;beautiful;hybrid;delicate
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Plants,rose,red;beautiful;thorny;fragrant;blooming;wild;white;hybrid;delicate;romantic
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Plants,rose,red;blooming;fragrant;thorny;wild;beautiful;white;hybrid;delicate;fresh
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Plants,rose,red;fragrant;blooming;thorny;wild;hybrid;white;delicate;garden;wilted
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Plants,tomato,ripe;red;juicy;fresh;organic;sliced;cherry;vine-ripened;green;canned
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Plants,tomato,red;ripe;fresh;juicy;organic;cherry;sliced;vine-ripened;green;plump
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Plants,tomato,red;ripe;fresh;juicy;organic;sliced;cherry;vine-ripened;tangy;plump
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Plants,tomato,red;ripe;juicy;fresh;organic;sliced;cherry;raw;vine-ripened;plump
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Plants,tomato,ripe;red;fresh;juicy;organic;sliced;cherry;vine-ripened;green;plum
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Plants,tree,tall;ancient;leafy;fruit-bearing;evergreen;bare;shady;twisted;flowering;massive
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Plants,tree,tall;ancient;leafy;fruit-bearing;evergreen;shady;bare;flowering;massive;twisted
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Plants,tree,tall;ancient;green;leafy;fruit-bearing;shady;twisted;evergreen;blooming;sturdy
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Plants,tree,tall;ancient;leafy;fruit-bearing;evergreen;shady;bare;massive;flowering;twisted
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Plants,tree,tall;ancient;leafy;fruit-bearing;evergreen;shady;bare;flowering;twisted;massive
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Social Relationships,ally,reliable;strategic;trusted;powerful;loyal;temporary;international;steadfast;helpful;covert
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Social Relationships,ally,reliable;strategic;faithful;powerful;temporary;international;trusted;strong;supportive;loyal
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Social Relationships,ally,reliable;strong;strategic;faithful;powerful;trusted;foreign;loyal;supportive;key
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Social Relationships,ally,reliable;strategic;faithful;strong;trusted;international;loyal;supportive;powerful;enduring
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Social Relationships,ally,reliable;strategic;faithful;strong;trusted;international;loyal;supportive;powerful;steadfast
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Social Relationships,brother,older;younger;protective;loving;estranged;twin;supportive;mischievous;caring;distant
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Social Relationships,brother,older;younger;protective;loving;estranged;twin;supportive;mischievous;caring;distant
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Social Relationships,brother,older;younger;protective;loving;annoying;supportive;twin;estranged;caring;competitive
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Social Relationships,brother,older;younger;protective;caring;mischievous;supportive;twin;estranged;loving;competitive
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Social Relationships,brother,older;younger;protective;caring;mischievous;supportive;twin;estranged;loving;competitive
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Social Relationships,enemy,sworn;formidable;hidden;ancient;ruthless;foreign;bitter;powerful;declared;sneaky
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Social Relationships,enemy,sworn;bitter;formidable;ancient;ruthless;hidden;powerful;foreign;declared;dangerous
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Social Relationships,enemy,sworn;bitter;powerful;ancient;formidable;hidden;ruthless;foreign;dangerous;defeated
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Social Relationships,enemy,sworn;bitter;formidable;hidden;ancient;ruthless;foreign;dangerous;powerful;vengeful
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Social Relationships,enemy,sworn;fierce;ancient;powerful;hidden;bitter;foreign;relentless;dangerous;defeated
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Social Relationships,father,loving;strict;absent;proud;hardworking;supportive;distant;biological;adoptive;wise
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Social Relationships,father,loving;strict;absent;proud;hardworking;biological;step;supportive;distant;caring
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Social Relationships,father,loving;strict;absent;proud;hardworking;supportive;elderly;young;distant;devoted
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Social Relationships,father,loving;strict;absent;supportive;hardworking;proud;biological;adoptive;wise;distant
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Social Relationships,father,loving;strict;absent;supportive;hardworking;proud;biological;adoptive;wise;distant
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Social Relationships,follower,loyal;devoted;blind;enthusiastic;cult;social;dedicated;misguided;faithful;passive
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Social Relationships,follower,loyal;devoted;blind;enthusiastic;religious;political;dedicated;misguided;faithful;ardent
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Social Relationships,follower,loyal;devoted;blind;enthusiastic;faithful;dedicated;cult;social;passive;active
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Social Relationships,follower,loyal;devoted;blind;enthusiastic;dedicated;faithful;cultish;supportive;passive;active
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Social Relationships,follower,loyal;devoted;blind;enthusiastic;dedicated;faithful;cultish;supportive;passive;ardent
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Social Relationships,friend,close;lifelong;casual;trustworthy;supportive;online;funny;reliable;distant;new
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Social Relationships,friend,close;lifelong;trustworthy;casual;supportive;childhood;online;loyal;fun-loving;reliable
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Social Relationships,friend,close;loyal;old;new;trustworthy;fun;supportive;childhood;distant;reliable
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Social Relationships,friend,close;loyal;old;new;trustworthy;fun;supportive;childhood;reliable;distant
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Social Relationships,friend,close;loyal;old;new;trustworthy;fun-loving;supportive;childhood;reliable;distant
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Social Relationships,leader,charismatic;effective;authoritarian;visionary;democratic;inspiring;weak;strong;elected;natural
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Social Relationships,leader,charismatic;strong;visionary;effective;authoritarian;inspirational;democratic;weak;natural;elected
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Social Relationships,leader,charismatic;strong;visionary;effective;democratic;authoritarian;inspiring;young;experienced;controversial
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Social Relationships,leader,charismatic;strong;visionary;effective;authoritarian;inspiring;democratic;competent;natural;flawed
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Social Relationships,leader,charismatic;strong;visionary;effective;authoritarian;inspirational;democratic;competent;natural;failed
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Social Relationships,mother,loving;nurturing;strict;single;protective;absent;devoted;working;biological;adoptive
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Social Relationships,mother,loving;caring;strict;single;biological;adoptive;supportive;busy;nurturing;devoted
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Social Relationships,mother,loving;caring;strict;single;devoted;protective;working;elderly;nurturing;absent
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Social Relationships,mother,loving;caring;strict;nurturing;single;protective;busy;devoted;biological;adoptive
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Social Relationships,mother,loving;nurturing;strict;single;protective;hardworking;biological;adoptive;caring;absent
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Social Relationships,partner,business;romantic;reliable;equal;supportive;professional;creative;long-term;trusted;junior
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Social Relationships,partner,business;romantic;reliable;equal;supportive;professional;life;trusted;creative;committed
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Social Relationships,partner,business;romantic;reliable;equal;supportive;creative;long-term;professional;trusted;dynamic
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Social Relationships,partner,reliable;business;romantic;equal;supportive;trusted;professional;long-term;creative;committed
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Social Relationships,partner,business;romantic;reliable;equal;supportive;professional;trusted;creative;long-term;junior
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Social Relationships,rival,fierce;corporate;athletic;longstanding;bitter;competitive;worthy;sneaky;direct;indirect
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Social Relationships,rival,fierce;corporate;athletic;longstanding;bitter;competitive;worthy;secret;professional;challenging
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Social Relationships,rival,fierce;corporate;athletic;bitter;longstanding;competitive;worthy;defeated;emerging;strategic
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Social Relationships,rival,fierce;corporate;athletic;bitter;longstanding;competitive;skilled;dangerous;worthy;jealous
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Social Relationships,rival,fierce;corporate;longstanding;competitive;bitter;athletic;direct;challenging;professional;defeated
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Social Relationships,sister,older;younger;protective;caring;estranged;twin;supportive;playful;distant;loving
grok-3-mini,english-monolingual,0.0,BN # Bengali,B2,most frequent,Social Relationships,sister,older;younger;protective;loving;estranged;twin;supportive;mischievous;caring;distant
grok-3-mini,english-monolingual,0.0,BN # Bengali,C1,most frequent,Social Relationships,sister,younger;older;protective;loving;annoying;supportive;twin;estranged;caring;competitive
grok-3-mini,english-monolingual,0.0,BN # Bengali,C2,most frequent,Social Relationships,sister,younger;older;protective;caring;mischievous;supportive;twin;estranged;loving;competitive
grok-3-mini,english-monolingual,0.0,BN # Bengali,Perfect,most frequent,Social Relationships,sister,younger;older;protective;caring;competitive;supportive;twin;estranged;loving;rebellious
grok-3-mini,english-monolingual,0.0,BN # Bengali,B1,most frequent,Social Relationships,stranger,mysterious;helpful;dangerous;passing;foreign;friendly;suspicious;unknown;wandering;intriguing
